description_label,element_type,image_path,bb,bb_x,bb_y,bb_width,bb_height,label_path
the 'MLS' icon in the selection chips towards the top,button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/20b51cb9-9f6f-4ddc-b5d1-edb1cc629c38_3da30649-daf3-4032-bec4-97b8ea748bce.jpeg,"[0.0, 0.8390625, 0.033547351524879615, 0.015625, 0.0032102728731942215]",0.8390625,0.0335473515248796,0.015625,0.0032102728731942,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/20b51cb9-9f6f-4ddc-b5d1-edb1cc629c38_3da30649-daf3-4032-bec4-97b8ea748bce.pickle
the 'STANDINGS' section,button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/20b51cb9-9f6f-4ddc-b5d1-edb1cc629c38_8948b4e1-1578-4238-82a7-a7e09c96f8e9.jpeg,"[0.0, 0.6396255850234009, 0.013404147698533132, 0.05850234009360374, 0.0025290844714213456]",0.6396255850234009,0.0134041476985331,0.0585023400936037,0.0025290844714213,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/20b51cb9-9f6f-4ddc-b5d1-edb1cc629c38_8948b4e1-1578-4238-82a7-a7e09c96f8e9.pickle
the search icon,button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/34e047fe-2011-4b6d-820c-4a3d49475678_062d843f-5c0d-40d2-88ca-71e4229acdd0.jpeg,"[0.0, 0.6625, 0.007078810759792355, 0.025, 0.009438414346389807]",0.6625,0.0070788107597923,0.025,0.0094384143463898,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/34e047fe-2011-4b6d-820c-4a3d49475678_062d843f-5c0d-40d2-88ca-71e4229acdd0.pickle
the 'search for music' text field,textfield,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/34e047fe-2011-4b6d-820c-4a3d49475678_f2a7deac-1cbc-4b50-954e-fc0565a07656.jpeg,"[0.0, 0.453125, 0.0070788107597923545, 0.90625, 0.014157621519584709]",0.453125,0.0070788107597923,0.90625,0.0141576215195847,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/34e047fe-2011-4b6d-820c-4a3d49475678_f2a7deac-1cbc-4b50-954e-fc0565a07656.pickle
the 'search' button,button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/34e047fe-2011-4b6d-820c-4a3d49475678_27694af7-0c05-4dd6-b196-8f89986a31b1.jpeg,"[0.0, 0.9765625, 0.0070788107597923545, 0.046875, 0.014157621519584709]",0.9765625,0.0070788107597923,0.046875,0.0141576215195847,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/34e047fe-2011-4b6d-820c-4a3d49475678_27694af7-0c05-4dd6-b196-8f89986a31b1.pickle
the text 'BLACKPINK' on the first photo in the upper left hand corner,button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/34e047fe-2011-4b6d-820c-4a3d49475678_d19b8530-bd27-4ba1-bf2b-34f0711b5e45.jpeg,"[0.0, 0.08359375, 0.24896965155488948, 0.0578125, 0.006369426751592357]",0.08359375,0.2489696515548894,0.0578125,0.0063694267515923,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/34e047fe-2011-4b6d-820c-4a3d49475678_d19b8530-bd27-4ba1-bf2b-34f0711b5e45.pickle
the 'On tour' text to the right of 'BLACKPINK',button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/34e047fe-2011-4b6d-820c-4a3d49475678_f71dddec-7ecd-4443-8d10-4699a7b28489.jpeg,"[0.0, 0.285791015625, 0.0392749244712991, 0.061572265625, 0.008056394763343404]",0.285791015625,0.0392749244712991,0.061572265625,0.0080563947633434,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/34e047fe-2011-4b6d-820c-4a3d49475678_f71dddec-7ecd-4443-8d10-4699a7b28489.pickle
the text 'BORN PINK WORLD TOUR',link,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/34e047fe-2011-4b6d-820c-4a3d49475678_6972084d-520b-48b2-82e4-9353bf1e09b8.jpeg,"[0.0, 0.198828125, 0.19594594594594594, 0.15390625, 0.004795117698343505]",0.198828125,0.1959459459459459,0.15390625,0.0047951176983435,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/34e047fe-2011-4b6d-820c-4a3d49475678_6972084d-520b-48b2-82e4-9353bf1e09b8.pickle
the 'twitter' icon by 'share this event',button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/34e047fe-2011-4b6d-820c-4a3d49475678_aface469-5dd2-4d7d-be36-263a26620f45.jpeg,"[0.0, 0.80625, 0.525045045045045, 0.0125, 0.005765765765765766]",0.80625,0.525045045045045,0.0125,0.0057657657657657,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/34e047fe-2011-4b6d-820c-4a3d49475678_aface469-5dd2-4d7d-be36-263a26620f45.pickle
the search text field that says 'search for anything',textfield,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/c200352a-28d2-436c-8707-aa695e04a397_0940f588-b220-4ff2-af36-2c7329683d21.jpeg,"[0.0, 0.195831298828125, 0.0734546165884194, 0.26041259765625, 0.03286384976525822]",0.195831298828125,0.0734546165884194,0.26041259765625,0.0328638497652582,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/c200352a-28d2-436c-8707-aa695e04a397_0940f588-b220-4ff2-af36-2c7329683d21.pickle
